1;20260706-16:31:40;0.0,-4.053221324648723e-07,0.0;25,24.99999775582571,24.9999755859375;0,2.212521345677625e-05,0.0;-20,-19.999977047434406,-19.9999755859375;0,-4.053221324648723e-07,0.0;
2;20260706-16:34:07;25,24.99999668294306,24.9999755859375;0,2.105233080966953e-05,0.0;-20,-19.999975974551756,-19.9999755859375;0,-4.053221324648723e-07,0.0;
3;20260706-16:36:34;25,24.999998828708353,24.9999755859375;0,2.4270978750989696e-05,0.0;-20,-19.999998505087344,-19.9999755859375;0,-1.9717209780385836e-05,0.0;
4;20260706-16:39:01;25,24.999977371055415,24.9999755859375;0,2.8133258088552884e-06,0.0;-20,-19.99999635932205,-19.9999755859375;0,-2.1862975074599278e-05,0.0;
5;20260706-16:41:28;25,24.99997844393806,24.9999755859375;0,6.67560514641848e-07,0.0;-20,-19.9999974322047,-19.9999755859375;0,-2.0790092427492556e-05,0.0;
6;20260706-16:43:55;25,24.999977371055415,24.9999755859375;0,6.67560514641848e-07,0.0;-20,-19.99999635932205,-19.9999755859375;0,-2.0790092427492556e-05,0.0;
7;20260706-16:46:22;25,24.99997951682071,24.9999755859375;0,3.886208455962009e-06,0.0;-20,-19.99999314067411,-19.9999755859375;0,-1.7571444486172398e-05,0.0;
8;20260706-16:48:49;25,24.999980589703355,24.9999755859375;0,4.959091103068729e-06,0.0;-20,-19.999994213556757,-19.9999755859375;0,-1.6498561839065676e-05,0.0;
9;20260706-16:51:16;25,24.999983808351296,24.9999755859375;0,1.032350433860233e-05,0.0;-20,-19.999989922026167,-19.9999755859375;0,-1.2207031250638796e-05,0.0;
10;20260706-16:53:43;25,24.999988099881882,24.9999755859375;0,8.17773904438889e-06,0.0;-20,-19.999990994908817,-19.9999755859375;0,-1.1134148603532075e-05,0.0;
11;20260706-16:56:10;25,24.99998595411659,24.9999755859375;0,7.104856397282169e-06,0.0;-20,-19.999992067791464,-19.9999755859375;0,-1.3279913897745515e-05,0.0;
12;20260706-16:58:37;25,24.99998595411659,24.9999755859375;0,1.461503492702921e-05,0.0;-20,-19.99998563049558,-19.9999755859375;0,-8.988383309318635e-06,0.0;
13;20260706-17:01:04;25,24.999990245647176,24.9999755859375;0,1.461503492702921e-05,0.0;-20,-19.999984557612933,-19.9999755859375;0,-6.842618015105194e-06,0.0;
14;20260706-17:03:30;25,24.999992391412473,24.9999755859375;0,1.676080022124265e-05,0.0;-20,-19.999984557612933,-19.9999755859375;0,-8.988383309318635e-06,0.0;
15;20260706-17:05:57;25,24.999990245647176,24.9999755859375;
