1;20260706-16:31:40;500.0,50.00001258916821,50.0;1000,100.0000122083654,100.0;500,50.00001401967965,50.0;0,1.1539459572132864e-05,2.44140625e-05;500,49.999985409450915,50.0;
2;20260706-16:34:07;1000,99.99999075069385,99.9999755859375;500,50.00001401967965,50.0;0,1.8692016754281258e-05,2.44140625e-05;500,49.999989700985225,50.0;
3;20260706-16:36:34;1000,99.99999075069385,99.9999755859375;500,50.00001545019108,50.0;0,1.4400482444992221e-05,2.44140625e-05;500,49.999993992519535,50.0;
4;20260706-16:39:01;1000,99.99999504222816,99.9999755859375;500,50.00002117223683,50.0;0,2.0122528190710938e-05,2.44140625e-05;500,49.99999542303097,50.0;
5;20260706-16:41:28;1000,99.9999964727396,99.9999755859375;500,50.00001688070252,50.0;0,2.0122528190710938e-05,2.44140625e-05;500,49.999996853542406,50.0;
6;20260706-16:43:55;1000,99.99999504222816,99.9999755859375;500,50.00001831121395,50.0;0,1.726150531785158e-05,2.44140625e-05;500,49.999989700985225,50.0;
7;20260706-16:46:22;1000,99.99998932018241,99.9999755859375;500,50.000009728145336,50.0;0,1.0108948135703184e-05,2.44140625e-05;500,49.999988270473786,50.0;
8;20260706-16:48:49;1000,99.99998502864811,99.9999755859375;500,50.00000686712246,50.0;0,1.58309938814219e-05,2.44140625e-05;500,49.99999113149666,50.0;
9;20260706-16:51:16;1000,99.99998932018241,99.9999755859375;500,50.00001258916821,50.0;0,1.58309938814219e-05,2.44140625e-05;500,49.99999542303097,50.0;
10;20260706-16:53:43;1000,99.99999361171672,99.9999755859375;500,50.00001974172539,50.0;0,2.1553039627140618e-05,2.44140625e-05;500,49.999996853542406,50.0;
11;20260706-16:56:10;1000,99.9999964727396,99.9999755859375;500,50.00002117223683,50.0;0,2.1553039627140618e-05,2.44140625e-05;500,49.999996853542406,50.0;
12;20260706-16:58:37;1000,99.9999964727396,99.9999755859375;500,50.00001545019108,50.0;0,1.4400482444992221e-05,2.44140625e-05;500,49.999989700985225,50.0;
13;20260706-17:01:04;1000,99.99999218120529,99.9999755859375;500,50.00001258916821,50.0;0,1.726150531785158e-05,2.44140625e-05;500,49.99999542303097,50.0;
14;20260706-17:03:30;1000,99.99999504222816,99.9999755859375;500,50.00001688070252,50.0;0,1.726150531785158e-05,2.44140625e-05;500,49.999993992519535,50.0;
15;20260706-17:05:57;1000,99.99999361171672,99.9999755859375;
