1;20250219-14:16:05;-55,-54.999725422617225,-54.99857490471012;-55.0,-54.999820723620324,-54.998864951241295;6.0,5.999759592860843,5.999322451303133;1.0,1.0001018477676495,1.0007572148107864;-1.0,-0.9999602774369875,-0.9996937108630528;1.0,0.9998152541713493,0.9996937108630594;-1.0,-0.9999312727838673,-0.9996937108630528;1.0,0.9998546176291553,0.9996937108630594;0.0,0.00010082569892082712,0.0010635039477301545;2.0,2.0000621252046162,2.0004509256738428;4.0,3.9998652802921137,3.9998383473999533;
0.0,0.00018576789734282866,0.0015952559215934802;2;20250219-14:18:54;-55.0,-54.99981036481565,-54.99867158688718;6.0,5.999837629189476,5.999612497834332;1.0,1.0001356865296247,1.0007572148107864;-1.0,-0.9999140081093918,-0.9996937108630528;1.0,0.9998332094328021,0.9996937108630594;-1.0,-0.9999588962630283,-0.9996937108630528;1.0,0.9998532364551938,0.9996937108630594;0.0,7.527398069638567e-05,0.0010635039477301545;2.0,2.0001166815759626,2.0004509256738428;4.0,3.999876329683778,3.9998383473999533;
0.0,0.00013811739578932427,0.0015952559215934802;3;20250219-14:21:42;-55.0,-54.999820723620324,-54.99891329232984;6.0,5.999765808143654,5.999225769126065;1.0,1.0001225653770252,1.0007572148107864;-1.0,-0.9999526809802182,-0.9996937108630528;1.0,0.9998269941499931,0.9996937108630594;-1.0,-0.9999568245020918,-0.9996937108630528;1.0,0.9998118012364527,0.9996937108630594;0.0,9.461041610847194e-05,0.0010635039477301545;2.0,1.9999088148952702,2.0004509256738428;4.0,3.9997692887020273,3.999741665222887;
0.0,0.00015814441817981094,0.0015952559215934802;4;20250219-14:24:34;-55.0,-54.9997792884016,-54.99862324579865;6.0,5.999831413906664,5.999612497834332;1.0,1.0001156595072342,1.0007572148107864;-1.0,-0.9998939810869978,-0.9996937108630528;1.0,0.9997910836270816,0.9996937108630594;-1.0,-0.9999326539578244,-0.9996937108630528;1.0,0.9998359717807178,0.9996937108630594;0.0,0.00010911274266838093,0.0010635039477301545;2.0,1.9999937570936936,2.0004509256738428;4.0,3.9999115496197106,3.9998383473999533;
0.0,0.0001912925931767824,0.0015952559215934802;5;20250219-14:27:17;-55.0,-54.99982141420732,-54.998864951241295;6.0,5.999830032732707,5.999564156745798;1.0,1.0001356865296227,1.0007572148107864;-1.0,-0.9999582056760487,-0.9996937108630528;1.0,0.9998187071062434,0.9996937108630594;-1.0,-0.9999485374583432,-0.9996937108630528;1.0,0.9998449494114497,0.9996937108630594;0.0,0.00010565980777525463,0.0010635039477301545;2.0,2.0000469322910774,2.0004509256738428;4.0,3.999793459246296,3.999741665222887;
0.0,0.00015261972234923275,0.0015952559215934802;6;20250219-14:30:08;-55.0,-54.99968674974639,-54.99857490471012;6.0,5.999775476361362,5.999419133480199;1.0,1.0001267088988954,1.0007572148107864;-1.0,-0.9999457751104274,-0.9996937108630528;1.0,0.9997897024531237,0.9996937108630594;-1.0,-0.9999195328052212,-0.9996937108630528;1.0,0.9998318282588479,0.9996937108630594;0.0,0.00012637741714639292,0.0010635039477301545;2.0,1.999967514788492,2.0004509256738428;4.0,3.9998473250306574,3.9998383473999533;
0.0,0.00015676324422413603,0.0015952559215934802;7;20250219-14:32:56;-55.0,-54.99977238253181,-54.99862324579865;6.0,5.999844535059265,5.999660838922864;1.0,1.0001253277249398,1.0007572148107864;-1.0,-0.9998988151958512,-0.9996937108630528;1.0,0.9998352811937397,0.9996937108630594;-1.0,-0.9999540621541738,-0.9996937108630528;1.0,0.9998173259322863,0.9996937108630594;0.0,9.944452496290148e-05,0.0010635039477301545;2.0,1.9999571559838034,2.0004509256738428;4.0,3.999826607421288,3.9997900063114202;
0.0,0.0001740279186998963,0.0015952559215934802;8;20250219-14:35:45;-55.0,-54.99981450833752,-54.998768269064236;6.0,5.999836938602496,5.999660838922864;1.0,1.0001308524207717,1.0007572148107864;-1.0,-0.9998919093260603,-0.9996937108630528;1.0,0.9998283753239487,0.9996937108630594;-1.0,-0.9999354163057402,-0.9996937108630528;1.0,0.9998366623676974,0.9996937108630594;0.0,9.253865517102106e-05,0.0010635039477301545;2.0,1.9999896135718196,2.0004509256738428;4.0,3.9998977378801284,3.9998383473999533;
0.0,0.00019060200619725666,0.0015952559215934802;9;20250219-14:38:30;-55.0,-54.9997627143141,-54.99857490471012;6.0,5.999794122209796,5.999419133480199;1.0,1.000146045334311,1.0007572148107864;-1.0,-0.9999381786536572,-0.9996937108630528;1.0,0.9997793436484386,0.9996937108630594;-1.0,-0.9998912187390822,-0.9996937108630528;1.0,0.9998187071062432,0.9996937108630594;0.0,9.66821770470487e-05,0.0010635039477301545;2.0,1.9999502501140127,2.0004509256738428;4.0,3.9999011908150224,3.9998383473999533;
0.0,0.00020786668067189154,0.0015952559215934802;10;20250219-14:41:12;
