1;20250219-14:16:05;0.0,6.131917109202334e-06,-0.009989450417900532;-25,-24.99996968973081,-25.02781881326844;25,24.999965230154736,24.998100198275186;1,1.0000188705468434,0.9794656134751473;-1,-1.000021286150553,-1.009933437249744;1,1.000017198205814,0.9787164046938046;-1,-1.0000069783439647,-1.0104329097706388;1,1.0000175698371536,0.973971415745302;0,-1.133475586852553e-05,-0.00973971415745302;-3,-3.000017590349835,-3.01481613612238;3,3.0000177761655054,2.982350422264204;
0,-5.388654429299022e-06,-0.014984175626850798;2;20250219-14:18:54;-25,-24.99997340604421,-25.02681986822665;25,24.99996002731598,24.997101253233392;1,1.0000194279938535,0.9789661409542522;-1,-1.0000235159385928,-1.009933437249744;1,1.0000177556528236,0.9774677233915671;-1,-1.0000058634499451,-1.0096837009892963;1,1.0000188705468436,0.9772179871311198;0,-1.1520571538501359e-05,-0.010738659199243073;-3,-3.0000105293543764,-3.009571674652983;3,3.000021864110245,2.978604378357491;
0,-1.133475586852553e-05,-0.014984175626850798;3;20250219-14:21:42;-25,-24.99999198761121,-25.02307382431994;25,24.999976750726272,25.00159650592145;1,1.0000190563625133,0.9792158772146997;-1,-1.0000244450169427,-1.0101831735101914;1,1.000014782602104,0.9782169321729096;-1,-1.0000034478462352,-1.0104329097706388;1,1.0000184989155034,0.9762190420893297;0,-1.4865253598066269e-05,-0.009989450417900532;-3,-3.0000146172991156,-3.0105706196947732;3,3.000008113750667,2.9848477848686787;
0,-1.4865253598066274e-06,-0.014234966845508257;4;20250219-14:24:34;-25,-24.99997712235761,-25.025571186924413;25,24.999965973417417,24.995852571931156;1,1.0000119953670543,0.9787164046938046;-1,-1.0000342932474515,-1.0101831735101912;1,1.000013481892414,0.9782169321729096;-1,-1.0000012180581956,-1.009933437249744;1,1.0000136677080842,0.9724729981826171;0,0.9992520092768532,0.9754698333079872;-3,-3.0000125733267464,-3.014066927341037;3,2.999997150626138,2.9840985760873364;
0,-2.6014193796615974e-06,-0.014234966845508257;5;20250219-14:27:17;-25,-24.99997898051431,-25.025321450663967;25,24.99997990959266,24.998349934535632;1,1.0000303911183819,0.9797153497355947;-1,-1.0000329925377616,-1.0106826460310863;1,1.0000155258647838,0.9762190420893296;-1,-1.0000073499753048,-1.0106826460310863;1,1.0000179414684935,0.9744708882661971;0,-1.5236884938017924e-05,-0.00973971415745302;-3,-3.0000174045341654,-3.0098214109134305;3,3.0000055123312865,2.9828498947850988;
0,-8.733336488863932e-06,-0.009489977897005505;6;20250219-14:30:08;-25,-24.99998418335307,-25.0265701319662;25,24.999975821647922,24.99785046201474;1,1.000035965588481,0.9774677233915671;-1,-1.000029647855702,-1.0096837009892963;1,1.0000138535237542,0.9757195695684345;-1,-1.000006978343965,-1.0101831735101914;1,1.0000179414684935,0.973971415745302;0,-1.11489401985497e-05,-0.009739714157453018;-3,-3.0000211208475647,-3.014066927341038;3,3.000017218718496,2.9826001585246513;
0,-4.831207419371537e-06,-0.011737604241033124;7;20250219-14:32:56;-25,-24.99997526420091,-25.026070659445306;25,24.999961328025663,24.99859967079608;1,1.0000259315423023,0.9784666684333572;-1,-1.000030762749722,-1.009933437249744;1,1.000013110261074,0.9789661409542522;-1,-1.000004376924585,-1.0104329097706388;1,1.0000168265744735,0.9732222069639594;0,0.9996832874468669,0.9732222069639594;-3,-3.000020191769215,-3.0103208834343254;3,3.0000242797139545,2.979103850878386;
0,-8.919152158839762e-06,-0.010239186678348045;8;20250219-14:35:45;-25,-24.999970990440502,-25.025820923184856;25,24.999970061362152,24.99535309941026;1,1.0000160833117937,0.9814635035587274;-1,-1.0000292762243623,-1.009933437249744;1,1.0000168265744738,0.9764687783497771;-1,-1.0000032620305654,-1.0106826460310863;1,1.0000140393394241,0.9762190420893296;0,0.9994090235179827,0.9774677233915672;-3,-3.000010900985716,-3.0098214109134305;3,3.000015546377466,2.988843565035839;
0,-5.946101439226507e-06,-0.010239186678348045;9;20250219-14:38:30;-25,-24.99997414930689,-25.0265701319662;25,24.99997117625617,24.996102308191606;1,0.9999976875604663,0.9802148222564898;-1,-1.0000253740952925,-1.009933437249744;1,1.000015711680454,0.9782169321729096;-1,-1.0000027045835553,-1.009933437249744;1,1.000014782602104,0.9747206245266444;0,-6.689364119129822e-06,-0.010988395459690587;-3,-3.000023350635605,-3.010071147173878;3,3.000035986101163,2.977855169576149;
0,-1.3007096898307985e-06,-0.014234966845508257;10;20250219-14:41:12;
