0.0,0.1872852962806377,0.1872;1;20260706-16:32:07;3.0,2.998037348562222,2.998;0.0,3.6949992992391867e-05,0.0;-3.0,-2.999962953211442,-2.9999;0.0,-6.324713339225023e-05,0.0;
2;20260706-16:34:34;3.0,2.9980831439078806,2.998;0.0,8.307964484646649e-05,0.0;-3.0,-2.9999168066860835,-2.9999;0.0,-1.6887219143736197e-05,0.0;
3;20260706-16:37:01;3.0,2.9980593107090696,2.998;0.0,5.926710011588868e-05,0.0;-3.0,-2.9999410048611392,-2.9999;0.0,-4.104498247854023e-05,0.0;
4;20260706-16:39:28;3.0,2.9980611220735827,2.998;0.0,6.12227292430108e-05,0.0;-3.0,-2.999938784529761,-2.9999;0.0,-3.8744249476682165e-05,0.0;
5;20260706-16:41:55;3.0,2.998049469081698,2.998;0.0,4.960402273196164e-05,0.0;-3.0,-2.9999503796803833,-2.9999;0.0,-5.082312959271739e-05,0.0;
6;20260706-16:44:22;3.0,2.9980700937401896,2.998;0.0,6.99654872433063e-05,0.0;-3.0,-2.999929926647733,-2.9999;0.0,-3.0346538407682947e-05,0.0;
7;20260706-16:46:49;3.0,2.998086136805003,2.998;0.0,8.630068610777664e-05,0.0;-3.0,-2.9999139279809506,-2.9999;0.0,-1.3781227240474878e-05,0.0;
8;20260706-16:49:16;3.0,2.998046560360302,2.998;0.0,4.6498031191842635e-05,0.0;-3.0,-2.9999533570751367,-2.9999;0.0,-5.3584012404229235e-05,0.0;
9;20260706-16:51:43;3.0,2.998022727132779,2.998;0.0,2.2685444379289924e-05,0.0;-3.0,-2.9999773313940588,-2.9999;0.0,-7.716663674365764e-05,0.0;
10;20260706-16:54:10;3.0,2.9980828621900852,2.998;0.0,8.284958520667608e-05,0.0;-3.0,-2.9999172172626527,-2.9999;0.0,-1.6887222526805867e-05,0.0;
11;20260706-16:56:37;3.0,2.998090586579748,2.998;0.0,9.067204976028201e-05,0.0;-3.0,-2.9999094496980923,-2.9999;0.0,-9.409823924290843e-06,0.0;
12;20260706-16:59:04;3.0,2.9980622673892716,2.998;0.0,6.202797539397722e-05,0.0;-3.0,-2.9999379394490195,-2.9999;0.0,-3.782394806637755e-05,0.0;
13;20260706-17:01:31;3.0,2.998047712036365,2.998;0.0,4.776344639550199e-05,0.0;-3.0,-2.9999522723459426,-2.9999;0.0,-5.208854650612989e-05,0.0;
14;20260706-17:03:58;3.0,2.998062987106428,2.998;0.0,6.283323256243476e-05,0.0;-3.0,-2.999937326366603,-2.9999;0.0,-3.72487631167576e-05,0.0;
