0.0,0.19687499999999897,0.1968;1;20260706-16:32:34;3.0,3.0031250000000007,3.0031;0.0,0.0031249999999989732,0.0031;-3.0,-2.996875000000003,-2.9968;0.0,-0.003125000000001027,-0.0031;
2;20260706-16:35:01;3.0,2.996875,2.9968;0.0,0.0031249999999989732,0.0031;-3.0,-2.996875000000003,-2.9968;0.0,-0.003125000000001027,-0.0031;
3;20260706-16:37:28;3.0,2.996875,2.9968;0.0,0.0031249999999989732,0.0031;-3.0,-2.996875000000003,-2.9968;0.0,-0.003125000000001027,-0.0031;
4;20260706-16:39:55;3.0,2.996875,2.9968;0.0,0.0031249999999989732,0.0031;-3.0,-2.996875000000003,-2.9968;0.0,-0.003125000000001027,-0.0031;
5;20260706-16:42:22;3.0,2.996875,2.9968;0.0,0.0031249999999989732,0.0031;-3.0,-2.996875000000003,-2.9968;0.0,-0.003125000000001027,-0.0031;
6;20260706-16:44:49;3.0,2.996875,2.9968;0.0,0.0031249999999989732,0.0031;-3.0,-2.996875000000003,-2.9968;0.0,-0.003125000000001027,-0.0031;
7;20260706-16:47:16;3.0,2.996875,2.9968;0.0,0.0031249999999989732,0.0031;-3.0,-2.996875000000003,-2.9968;0.0,-0.003125000000001027,-0.0031;
8;20260706-16:49:43;3.0,2.996875,2.9968;0.0,0.0031249999999989732,0.0031;-3.0,-2.996875000000003,-2.9968;0.0,-0.003125000000001027,-0.0031;
9;20260706-16:52:10;3.0,2.996875,2.9968;0.0,0.0031249999999989732,0.0031;-3.0,-2.996875000000003,-2.9968;0.0,-0.003125000000001027,-0.0031;
10;20260706-16:54:37;3.0,2.996875,2.9968;0.0,0.0031249999999989732,0.0031;-3.0,-2.996875000000003,-2.9968;0.0,-0.003125000000001027,-0.0031;
11;20260706-16:57:04;3.0,2.996875,2.9968;0.0,0.0031249999999989732,0.0031;-3.0,-2.996875000000003,-2.9968;0.0,-0.003125000000001027,-0.0031;
12;20260706-16:59:31;3.0,2.996875,2.9968;0.0,0.0031249999999989732,0.0031;-3.0,-2.996875000000003,-2.9968;0.0,-0.003125000000001027,-0.0031;
13;20260706-17:01:58;3.0,2.996875,2.9968;0.0,0.0031249999999989732,0.0031;-3.0,-2.996875000000003,-2.9968;0.0,-0.003125000000001027,-0.0031;
14;20260706-17:04:24;3.0,2.996875,2.9968;0.0,0.0031249999999989732,0.0031;-3.0,-2.996875000000003,-2.9968;0.0,-0.003125000000001027,-0.0031;
