1;20260706-16:31:40;0,0.00012924532892554796,2.4424906541753446e-16;-42.0,-41.999873795737635,-41.999904206403265;0.0,2.2807999225271658e-05,2.4424906541753446e-16;27.0,27.000018246399378,26.999957425068118;0.0,5.321866485037963e-05,2.4424906541753446e-16;
2;20260706-16:34:07;-42.0,-41.9999422197353,-42.00003725306539;0.0,9.883466328804436e-05,2.4424906541753446e-16;27.0,27.000094273063446,27.000090471730243;0.0,2.4424906541753446e-16,-0.00013304666212509697;
3;20260706-16:36:34;-42.0,-41.999873795737635,-41.999904206403265;0.0,2.2807999225271658e-05,2.4424906541753446e-16;27.0,27.000018246399378,26.999957425068118;0.0,6.082133126285583e-05,2.4424906541753446e-16;
4;20260706-16:39:01;-42.0,-41.99992701440249,-42.00003725306539;0.0,8.362933047549314e-05,2.4424906541753446e-16;27.0,27.000086670397042,26.999957425068118;0.0,0.00012924532892554796,2.4424906541753446e-16;
5;20260706-16:41:28;-42.0,-41.999873795737635,-41.999904206403265;0.0,2.2807999225271658e-05,2.4424906541753446e-16;27.0,27.000018246399378,26.999957425068118;0.0,6.082133126285583e-05,2.4424906541753446e-16;
6;20260706-16:43:55;-42.0,-41.9999422197353,-42.00003725306539;0.0,9.12319968879638e-05,2.4424906541753446e-16;27.0,27.000094273063446,27.000090471730243;0.0,7.602666412720449e-06,2.4424906541753446e-16;
7;20260706-16:46:22;-42.0,-41.99999543840015,-42.00003725306539;0.0,4.561599843790898e-05,2.4424906541753446e-16;27.0,27.000048657065,26.999957425068118;0.0,9.12319968879638e-05,2.4424906541753446e-16;
8;20260706-16:48:49;-42.0,-41.99991180906967,-42.00003725306539;0.0,7.602666412720449e-06,2.4424906541753446e-16;27.0,27.000003041066556,26.999957425068118;0.0,3.8013332037828415e-05,2.4424906541753446e-16;
9;20260706-16:51:16;-42.0,-41.99995742506812,-42.00003725306539;0.0,8.362933047549314e-05,2.4424906541753446e-16;27.0,27.00007906773063,26.999957425068118;0.0,0.0001140399961129912,2.4424906541753446e-16;
10;20260706-16:53:43;-42.0,-41.99988900107045,-41.999904206403265;0.0,3.0410665625357768e-05,2.4424906541753446e-16;27.0,27.000018246399378,26.999957425068118;0.0,6.082133126285583e-05,2.4424906541753446e-16;
11;20260706-16:56:10;-42.0,-41.99994982240171,-42.00003725306539;0.0,0.00010643732970052056,2.4424906541753446e-16;27.0,27.000101875729854,27.000090471730243;0.0,2.4424906541753446e-16,-0.00013304666212509697;
12;20260706-16:58:37;-42.0,-41.999873795737635,-41.999904206403265;0.0,3.0410665625357768e-05,2.4424906541753446e-16;27.0,27.00001064373297,26.999957425068118;0.0,6.082133126285583e-05,2.4424906541753446e-16;
13;20260706-17:01:04;-42.0,-41.9999422197353,-42.00003725306539;0.0,9.12319968879638e-05,2.4424906541753446e-16;27.0,27.000086670397042,26.999957425068118;0.0,0.00012924532892554796,2.4424906541753446e-16;
14;20260706-17:03:30;-42.0,-42.00001064373296,-42.00003725306539;0.0,1.520533281280101e-05,2.4424906541753446e-16;27.0,27.00003345173219,26.999957425068118;0.0,7.602666407540703e-05,2.4424906541753446e-16;
15;20260706-17:05:57;
