1;20250219-13:44:21;0.0,6.983227393465619e-05,0.01796875;1000,100.00000061241892,100.01015625;801,80.1000031778718,80.11399147727272;799,79.89999089868039,79.91207386363637;801,80.10000070444755,80.10539772727273;799,79.90000391670267,79.91235795454546;801,80.10000070444752,80.10703125;800,80.00000016260142,80.01328125;760,76.00000439462136,76.0140625;840,83.99999775310465,84.01910511363636;800,79.99998128646911,80.01647727272727;0,-1.2461277836832652e-06,0.0171875;
2;20250219-13:47:10;1000,100.0000021745816,100.01015625;801,80.099980526513,80.11356534090909;799,79.89999597570909,79.91214488636363;801,80.10000018372666,80.10546875;799,79.8999983189531,79.9125;801,80.10000213643,80.10546875;800,79.99999860043877,80.01299715909092;760,76.00000035903443,76.0140625;840,84.0000105107665,84.01953125;800,79.99998909728248,80.01654829545456;0,-2.41774979002952e-06,0.0171875;
3;20250219-13:49:59;1000,100.00000855341251,100.01029829545455;801,80.09998078687345,80.11370738636364;799,79.90000079237731,79.9125;801,80.10000070444755,80.10546875;799,79.89999818877287,79.9125;801,80.09999849138377,80.10546875;800,79.99999951170031,80.01328125;760,75.99999072569793,76.0140625;840,84.00000920896426,84.01924715909091;800,79.99999274232873,80.01690340909092;0,-3.4591915734484126e-06,0.01640625;
4;20250219-13:52:50;1000,100.00000907413337,100.01015625;801,80.09999393507596,80.1140625;799,79.90000053201689,79.91228693181819;801,80.09999966300578,80.10525568181819;799,79.89999792841243,79.91207386363637;801,80.10000031390686,80.10546875;800,80.00000536981034,80.01292613636363;760,76.00000426444112,76.0140625;840,84.00000217923221,84.01875;800,79.99999534593317,80.0166903409091;0,-1.7668486753927127e-06,0.0171875;
5;20250219-13:55:36;1000,100.0000017840409,100.01015625;801,80.09999341435505,80.1140625;799,79.89999962075531,79.9125;801,80.10000630219714,80.10539772727273;799,79.89999896985421,79.9125;801,80.10000239679044,80.10546875;800,80.00000589053124,80.01299715909092;760,75.99999554236618,76.0140625;840,84.00000335085423,84.01910511363636;800,79.99999664773541,80.01661931818181;0,-4.6308135797946685e-06,0.0171875;
6;20250219-13:58:25;1000,100.00000425746515,100.01015625;801,80.09999914228487,80.11399147727272;799,79.90000378652246,79.9125;801,80.10000343823224,80.10546875;799,79.89999910003444,79.9125;801,80.10000057426733,80.10546875;800,80.00000224548498,80.01328125;760,76.000001270296,76.0140625;840,84.00001220310939,84.01882102272728;800,80.00000250584546,80.01654829545456;0,-6.32315647785037e-06,0.016761363636363637;
7;20250219-14:01:13;1000,100.0000131097203,100.01029829545455;801,80.09999966300576,80.11392045454545;799,79.89999597570906,79.9125;801,80.09999705940132,80.10546875;799,79.90000118291798,79.9125;801,80.0999982310233,80.10546875;800,80.00000445854879,80.01328125;760,75.99999879687176,76.0140625;840,83.99999124409351,84.01917613636364;800,80.00000107386299,80.01640625;0,-6.974057592487178e-06,0.0171875;
8;20250219-14:04:00;1000,100.00000503854648,100.01015625;801,80.099998621564,80.1140625;799,79.8999938928255,79.9125;801,80.10000200624978,80.10546875;799,79.90000209417957,79.9125;801,80.10000018372666,80.10546875;800,80.00000107386299,80.01328125;760,76.00000270227844,76.0140625;840,84.00000855806317,84.01924715909091;800,79.99999573647383,80.01654829545456;0,-5.952266690464566e-07,0.0171875;
9;20250219-14:06:44;1000,100.00000204440137,100.01015625;801,80.0999982310233,80.11384943181818;799,79.89999910003442,79.91186079545454;801,80.10000031390686,80.10546875;799,79.89999662661019,79.91207386363637;801,80.10000239679044,80.10546875;800,80.0000017247641,80.01285511363636;760,75.99999957795309,76.0140625;840,84.00000816752251,84.01946022727273;800,80.00000302656633,80.01661931818181;0,-3.198831127593691e-06,0.0171875;
10;20250219-14:09:29;1000,99.99999957097711,100.01015625;801,80.09999679904085,80.1140625;799,79.9000030054411,79.91178977272727;801,80.10000317787177,80.10525568181819;799,79.89999988111576,79.91242897727273;801,80.09999901210466,80.10546875;800,79.9999913103463,80.0125;760,76.00000296263887,76.0140625;840,84.00000126797066,84.01924715909091;800,79.99998714457914,80.01661931818181;0,-2.9384706817389665e-06,0.0171875;
