1;20250219-13:44:21;-55,-54.999810364815644,-54.99867158688718;-55.0,-54.99980622129376,-54.99910665668396;6.0,5.999852822103015,5.999612497834332;1.0,1.0000990854197327,1.0007572148107864;-1.0,-0.9999768515244825,-0.9996937108630528;1.0,0.9998511646942585,0.9996937108630594;-1.0,-0.9999264386750119,-0.9996937108630528;1.0,0.9998856940432101,0.9996937108630594;0.0,6.0081067155825554e-05,0.0010635039477301545;2.0,2.000047622878059,2.0004509256738428;4.0,3.999862517944197,3.9998383473999533;
0.0,0.00012983035204064457,0.0015952559215934802;2;20250219-13:47:10;-55.0,-54.999765476662006,-54.99857490471012;6.0,5.99982657979781,5.999370792391665;1.0,1.0000942513108795,1.0007572148107864;-1.0,-0.9999692550677143,-0.9996937108630528;1.0,0.9998587611510257,0.9996937108630594;-1.0,-0.9999008869567898,-0.9996937108630528;1.0,0.9998559988031097,0.9996937108630594;0.0,6.767752392610585e-05,0.0010635039477301545;2.0,1.9999992817895234,2.0004509256738428;4.0,3.999876329683778,3.9998383473999533;
0.0,0.00015261972234923224,0.0015952559215934802;3;20250219-13:49:59;-55.0,-54.999805530706794,-54.99857490471012;6.0,5.999852822103014,5.999467474568732;1.0,1.000106681876504,1.0007572148107864;-1.0,-0.9999443939364696,-0.9996937108630528;1.0,0.9998525458682177,0.9996937108630594;-1.0,-0.9999257480880335,-0.9996937108630528;1.0,0.9998649764338403,0.9996937108630594;0.0,7.734574163158531e-05,0.0010635039477301545;2.0,2.0000103311811896,2.0004509256738428;4.0,3.9998991190540885,3.9998383473999533;
0.0,0.00013259269995762122,0.0015952559215934802;4;20250219-13:52:50;-55.0,-54.99975373668336,-54.99857490471012;6.0,5.999803099840524,5.999225769126065;1.0,1.0001066818765052,1.0007572148107864;-1.0,-0.9999450845234457,-0.9996937108630528;1.0,0.9998608329119664,0.9996937108630594;-1.0,-0.9998995057828296,-0.9996937108630528;1.0,0.9998477117593622,0.9996937108630594;0.0,8.494219840186663e-05,0.0010635039477301545;2.0,1.999986160636921,2.0004509256738428;4.0,3.9998473250306597,3.9998383473999533;
0.0,0.00014916678745273036,0.0015952559215934802;5;20250219-13:55:36;-55.0,-54.99973094731306,-54.99857490471012;6.0,5.999854893863951,5.999612497834332;1.0,1.000102538354629,1.0007572148107864;-1.0,-0.9999229857401177,-0.9996937108630528;1.0,0.9998456399984258,0.9996937108630594;-1.0,-0.9999443939364673,-0.9996937108630528;1.0,0.9998608329119664,0.9996937108630594;0.0,9.461041610959782e-05,0.0010635039477301545;2.0,2.000022761746813,2.0004509256738428;4.0,3.9999053343368987,3.9998383473999533;
0.0,0.00018507731036442875,0.0015952559215934802;6;20250219-13:58:25;-55.0,-54.99982210479428,-54.998864951241295;6.0,5.999772023426464,5.999225769126065;1.0,1.000099776006711,1.0007572148107864;-1.0,-0.9999568245020909,-0.9996937108630528;1.0,0.9998546176291541,0.9996937108630594;-1.0,-0.9999188422182449,-0.9996937108630528;1.0,0.9998622140859232,0.9996937108630594;0.0,8.21798504871402e-05,0.0010635039477301545;2.0,2.0000013535504584,2.0004509256738428;4.0,3.99989014142336,3.9998383473999533;
0.0,0.00018162437546792587,0.0015952559215934802;7;20250219-14:01:13;-55.0,-54.99977859781461,-54.99857490471012;6.0,5.999789978687921,5.999225769126065;1.0,1.0000949418978589,1.0007572148107864;-1.0,-0.999936797479698,-0.9996937108630528;1.0,0.9998408058895724,0.9996937108630594;-1.0,-0.999955443328133,-0.9997420519515858;1.0,0.9998414964765509,0.9996937108630594;0.0,8.839513329836902e-05,0.0010635039477301545;2.0,1.9999592277447396,2.0004509256738428;4.0,3.9998473250306588,3.9998383473999533;
0.0,0.00015676324422413652,0.0015952559215934802;8;20250219-14:04:00;-55.0,-54.999721969682334,-54.99857490471012;6.0,5.9998403915373935,5.999660838922864;1.0,1.0001177312681708,1.0007572148107864;-1.0,-0.9999568245020896,-0.9996937108630528;1.0,0.9998518552812381,0.9996937108630594;-1.0,-0.9999664927197977,-0.9996937108630528;1.0,0.9998339000197817,0.9996937108630594;0.0,8.701395933931802e-05,0.0010635039477301545;2.0,1.9999260795697473,2.0004509256738428;4.0,3.9998079615728543,3.9997900063114202;
0.0,0.00017748085359302308,0.0015952559215934802;9;20250219-14:06:44;-55.0,-54.99980069659794,-54.99857490471012;6.0,5.999821745688957,5.999467474568732;1.0,1.0001101348114005,1.0007572148107864;-1.0,-0.9999098645875166,-0.9996937108630528;1.0,0.9998484023463441,0.9996937108630594;-1.0,-0.9998981246088716,-0.9996937108630528;1.0,0.9998421870635303,0.9996937108630594;0.0,8.839513329724314e-05,0.0010635039477301545;2.0,1.9999654430275533,2.0004509256738428;4.0,3.999856302661385,3.9998383473999533;
0.0,0.00015123854838793103,0.0015952559215934802;10;20250219-14:09:29;-55.0,-54.999786194271394,-54.99867158688718;6.0,5.999827960971769,5.999515815657265;1.0,1.0001419018124338,1.0007572148107864;-1.0,-0.999931963370846,-0.9996937108630528;1.0,0.9998442588244691,0.9996937108630594;-1.0,-0.999882241108355,-0.9996937108630528;1.0,0.999813182410412,0.9996937108630594;0.0,0.00010013511194017549,0.0010635039477301545;2.0,1.9999999723765014,2.0004509256738428;4.0,3.999838347399932,3.9998383473999533;
0.0,0.00017817144057479908,0.0015952559215934802;
