0.0,5.83795426068506e-06,0.1877;1;20250219-13:45:40;-0.7,-0.7000003015032162,-0.5133;0.7,0.7000001601301701,0.8875;0.0,-4.071463745633236e-07,0.185;
2;20250219-13:48:30;-0.7,-0.700000378335016,-0.51405;0.7,0.7000001008470383,0.8889;0.0,-2.606950904181275e-07,0.1849;
3;20250219-13:51:21;-0.7,-0.700000219543869,-0.5131;0.7,0.700000194211821,0.8878;0.0,-2.3977348182351646e-07,0.18445;
4;20250219-13:54:08;-0.7,-0.7000003909060086,-0.5139;0.7,0.7000001229761323,0.8891;0.0,-3.966855913038738e-07,0.1849;
5;20250219-13:56:55;-0.7,-0.7000003812347994,-0.512;0.7,0.7000000128103713,0.887;0.0,-3.862247834089611e-07,0.1847;
6;20250219-13:59:45;-0.7,-0.7000004551668074,-0.5144;0.7,0.7000000619169654,0.8869;0.0,-3.6530316524416716e-07,0.1854;
7;20250219-14:02:31;-0.7,-0.7000003158311787,-0.5142;0.7,0.7000001110235666,0.8879;0.0,-3.2345993212845284e-07,0.1829;
8;20250219-14:05:21;-0.7,-0.7000002730945387,-0.5133;0.7,0.700000399518395,0.8874;0.0,-3.548423631114685e-07,0.1841;
9;20250219-14:08:05;-0.7,-0.7000003480654758,-0.5151;0.7,0.7000001229761312,0.8848;0.0,-2.606950947631538e-07,0.1822;
10;20250219-14:10:47;-0.7,-0.7000003174842617,-0.5145;0.7,0.700000420268596,0.8881;0.0,-3.4438155914283533e-07,0.1836;
